"var1","var1_id","op","var2","var2_id","est","std","se","p","se_boot","p_boot","matrix","row","col","par","group","group_id","fixed","mi","pmi","epc","mi_free","pmi_free","epc_free","mi_equal","pmi_equal","epc_equal","minimum","maximum","identified","penalty_lambda","model"
"ene",4,"--","dep",2,0.587466680975892,,0.0743103674717694,2.66685298729388e-15,,,"omega",4,2,55,"High Slow Risk",2,FALSE,9.74266e-05,0.9921246155,0.0001988712,9.74266e-05,0.9921246155,,9.74266e-05,0.9921246155,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"app",5,"--","dep",2,0.297801498080921,,0.0596668064658212,6.0044217456395e-07,,,"omega",5,2,56,"High Slow Risk",2,FALSE,3.65311e-05,0.9951775406,0.0001279864,3.65311e-05,0.9951775406,,3.65311e-05,0.9951775406,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"glt",6,"--","dep",2,1.11995708315305,,0.0661553422787663,2.74075372680756e-64,,,"omega",6,2,57,"High Slow Risk",2,FALSE,2.8138e-06,0.9986616093,-3.76065e-05,2.8138e-06,0.9986616093,,2.8138e-06,0.9986616093,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"con",7,"--","dep",2,0.443445516391281,,0.0631651705666717,2.21215081186447e-12,,,"omega",7,2,58,"High Slow Risk",2,FALSE,0.0002314967,0.9878606425,0.0003349396,0.0002314967,0.9878606425,,0.0002314967,0.9878606425,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"mot",8,"--","dep",2,0.724649292025222,,0.0705783237847222,9.89280266439635e-25,,,"omega",8,2,59,"High Slow Risk",2,FALSE,0.0002367226,0.9877243979,0.0003611322,0.0002367226,0.9877243979,,0.0002367226,0.9877243979,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"sui",9,"--","dep",2,1.56072207449956,,0.12621676961523,4.02155317078945e-35,,,"omega",9,2,60,"High Slow Risk",2,FALSE,0.0002009775,0.9886890473,0.000443371,0.0002009775,0.9886890473,,0.0002009775,0.9886890473,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"ene",4,"--","slp",3,1.3728177117482,,0.052174258711593,1.39187918104651e-152,,,"omega",4,3,61,"High Slow Risk",2,FALSE,1.6654e-06,0.998970342,-2.60345e-05,1.6654e-06,0.998970342,,1.6654e-06,0.998970342,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"app",5,"--","slp",3,0.72500971378906,,0.0546580747665037,3.72103526131475e-40,,,"omega",5,3,62,"High Slow Risk",2,FALSE,0.0003861081,0.9843228691,0.0004023636,0.0003861081,0.9843228691,,0.0003861081,0.9843228691,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"glt",6,"--","slp",3,0.3773368402221,,0.0684157325236006,3.48082765468724e-08,,,"omega",6,3,63,"High Slow Risk",2,FALSE,0.0001651768,0.9897457804,0.0002855913,0.0001651768,0.9897457804,,0.0001651768,0.9897457804,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"con",7,"--","slp",3,0.489374514186712,,0.0626450751988623,5.63504404092481e-15,,,"omega",7,3,64,"High Slow Risk",2,FALSE,0.0001456637,0.9903704666,0.0002585229,0.0001456637,0.9903704666,,0.0001456637,0.9903704666,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"mot",8,"--","slp",3,0.297638707347745,,0.0720821359899611,3.6409021519462e-05,,,"omega",8,3,65,"High Slow Risk",2,FALSE,0.0002296429,0.9879093416,0.000349773,0.0002296429,0.9879093416,,0.0002296429,0.9879093416,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"sui",9,"--","slp",3,0.397403554284798,,0.10958599848707,0.000287391017114308,,,"omega",9,3,66,"High Slow Risk",2,FALSE,0.0005915575,0.9805958002,0.0007713245,0.0005915575,0.9805958002,,0.0005915575,0.9805958002,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"app",5,"--","ene",4,1.23732177234338,,0.0613070518738779,1.39868518547253e-90,,,"omega",5,4,67,"High Slow Risk",2,FALSE,0.0005766265,0.9808422005,0.000483532,0.0005766265,0.9808422005,,0.0005766265,0.9808422005,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"glt",6,"--","ene",4,0.306941168797652,,0.0848649974576805,0.00029824795944972,,,"omega",6,4,68,"High Slow Risk",2,FALSE,8.42736e-05,0.9926754715,0.0001984906,8.42736e-05,0.9926754715,,8.42736e-05,0.9926754715,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"con",7,"--","ene",4,0.653405217977403,,0.074769157727052,2.35251125585356e-18,,,"omega",7,4,69,"High Slow Risk",2,FALSE,3.6789e-06,0.9984696208,-4.00141e-05,3.6789e-06,0.9984696208,,3.6789e-06,0.9984696208,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"mot",8,"--","ene",4,0.801035153677226,,0.0925652068822991,4.98390533676127e-18,,,"omega",8,4,70,"High Slow Risk",2,FALSE,8.18735e-05,0.9927805215,0.0002018852,8.18735e-05,0.9927805215,,8.18735e-05,0.9927805215,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"sui",9,"--","ene",4,-0.189297482106527,,0.14780305840552,0.200284545948083,,,"omega",9,4,71,"High Slow Risk",2,FALSE,0.0001609994,0.9898762697,0.0003925582,0.0001609994,0.9898762697,,0.0001609994,0.9898762697,,-Inf,Inf,FALSE,0,"free_J_equal_h"
